Laptop Name,Price,URL,Brand,Display,Resolution length,Resolution width,Processor,Passmark CPU Bench(#),Hard Drive Size,Hard Drive Type,RAM,Graphics (GPU),Passmark GPU Bench (#),Audio (Speakers or Drivers),Input/Output (peripherals and interactable hardware),Ports (all holes in the laptop) {Note; all laptop's have a port for charging. May not be included. Could be USB-C},Networking(Wi-Fi; Bluetooth; other),Power(Battery),Software(operating system; additional application),Physical features (other),Weight(kg),Length (longer side)(mm),Width(shorter side)(mm),Height(use tallest height)(mm),Warranty
XPS 13,1549.99,http://www.dell.com/ca/p/xps-13-9360-laptop/pd?oc=nxps139360_bt_h5159e&model_id=xps-13-9360-laptop,Dell,3.3 inch,1920,1080,7th Generation Intel Core i5-7200U (3MB Cache; up to 3.1 GHz),4714,256GB ,PCIe SSD,8GB ,Intel HD Graphics,650,Realtek Audio with 2 side speakers,Full size; backlit chiclet keyboard; 1.3mm travel; Fingerprint scanner with +30$; Precision touchpad; seamless glass integrated button;Widescreen HD (720p) webcam with dual array digital microphones,2 USB 3.0 - 1 w/PowerShare;1 SD card reader (SD; SDHC; SDXC);1 Headset jack 1 Noble lock slot;1 Thunderbolt 3 ,Killer 1535 802.11ac 2x2 WiFi and Bluetooth 4.1,60WHr Integrated Battery; ENERGY STAR certified,Windows 10,Case Colour : Rose Gold;Chasis Colour : Silver,1.2,304,200,15,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis
XPS 15,1899.99,http://www.dell.com/ca/p/xps-15-9560-laptop/pd?oc=nxps159560_bt_s1610e&model_id=xps-15-9560-laptop,Dell,15.6 inch,1920,1080,7th Generation Intel Core i7-7700HQ Quad Core Processor (6M cache; up to 3.8 GHz),8970,256GB ,PCIe SSD,8GB ,NVIDIA GeForce GTX 1050 with 4GB GDDR5,4665,Realtek Audio with 2 front speakers,Full size; backlit chiclet keyboard; 1.3mm travel; Fingerprint scanner with +30$;Precision touchpad; seamless glass integrated button;Widescreen HD (720p) webcam with dual array digital microphones,1 HDMI;2 USB 3.0 with PowerShare;1 Thunderbolt 3;1 SD Card Reader (SD; SDHC; SDXC);1 Kensington Lock Slot,Killer 1535 802.11ac 2x2 WiFi and Bluetooth 4.1,56WHr,Windows 10,Colour : Silver,1.5,357,2335,17,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis
Alienware 15,2249.99,http://www.dell.com/ca/p/alienware-15-laptop/pd?oc=na153_fkbl_h8e&model_id=alienware-15-laptop,Dell,15.6 inch,1920,1080,7th Generation Intel Core i7-7700HQ (Quad-Core; 6MB Cache; up to 3.8GHz w/ Turbo Boost),8970,1TB,7200RPM SATA 6Gb/s (HDD),16GB ,NVIDIA GeForce GTX 1060 with 6GB GDDR5,8609,Speakers (No specific info),Alienware TactX Keyboard; 4-Zone; multi-color RGB; keyboard with AlienFX lighting controls; 5 user-programmable keys;Alienware HD+IR presence detection camera + Windows Hello technology;Touchpad: Backlit button image sensor trackpad with all-points addressable (APA),"1 Power/DC-in Jack ;1 RJ-45 Killer Networks e2400 Gigabit Ethernet Port;1 Type-A SuperSpeed USB 3.0 Port;1 Type-A SuperSpeed USB 3.0 Port with PowerShare technology;1 Type-C SuperSpeed USB 3.0 Port;1 Thunderbolt 3 Port ;1 Alienware Graphics Amplifier Port;1 HDMI 2.0 Output;1 Mini-Display Port 1.2 (certified) Output;1 Audio Out 1/8"" Ports (Compatible with inline mic headset);1 Headphone 1/8"" Port (retaskable for Microphone/Line-In analog audio input);1 Noble Lock port (cable and lock sold separately)",Killer 1435 802.11ac 2x2 WiFi and Bluetooth 4.1,Lithium Ion (99 Wh) Battery,Windows 10 ,,3.49,389,305,25.4,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis
HP 15.6" Touchscreen Convertible Laptop,1999.99,http://www.bestbuy.ca/en-ca/product/hewlett-packard-hp-15-6-touchscreen-convertible-laptop-ash-intel-core-i7-7500u-512gb-ssd-16gb-ram-windows-10-15-bl018ca/10575041.aspx?,HP,15.6 Inch ,3840,2160,Intel Core i7-7500U 2.7 GHz,5241,512GB,SSD,16 GB ,NVIDIA GeForce 940MX (2GB),1223,Integrated Microphone ;Pair of Bang & Olufsen speakers,Webcam;HP Imagepad (Mousepad);Backlit keyboard without numberpad,1 x Thunderbolt 3;1 x USB 3.1 Type-C;1 x USB Type-A 3.1;1 x HDMI with HDCP support;1 x Audio jack out,2x2 802.11ac Wifi with Bluetooth,Lithium-ion Polymer (79Wh);Energy Star Cert,Windows 10,Colour Ash,2,355.6,251,17.8,1 Year Parts and Labour Warranty
ENVY,1099.99,http://www.bestbuy.ca/en-ca/product/hp-hp-envy-15-6-touchscreen-convertible-laptop-silver-intel-core-i5-7200u-256gb-ssd-8gb-ram-win-10-15-aq118ca/10483527.aspx,HP,15.6 Inch ,1920,1080,Intel Core i5-7200U 7th Generation 2.5 GHz,4714,256 GB ,SSD,8 GB,Intel HD 620,945,Integrated Microphone ;Dual speakers with B&O PLAY,Webcam;HP Imagepad with Multi-Touch Gesture Support (Mousepad);Backlit keyboard with numberpad,1 x HDMI with HDCP support;3 x USB 3.0;1 x USB-C (or Thunderbolt 3);2 x Audio jack out ;1 x SD card reader,802.11ac Wifi with Bluetooth,Lithium-ion (55.67 Wh);Energy Star Cert,Windows 10 ,Colour Silver,2.01,380,249.9,18.8,1 Year Parts and Labour Warranty
ZenBook Flip UX360UA,1099.99,http://www.bestbuy.ca/en-ca/product/asus-asus-zenbook-flip-ux360ca-13-3-touchscreen-laptop-gold-intel-core-i5-7200u-256gb-ssd-8gb-ddr3-ram-ux360ua-bs51-cb-gd/10573744.aspx?,Asus,13.3 Inch ,1920,1080,Intel Core i5-7200U 2.5 GHz,4714,256 GB ,SSD,8 GB ,Intel HD,650,Integrated Microphone and Speakers (2W),Webcam;Keyboard (not backlit) with numpad;Mousepad,1 x Audio-in Combo Jack;1 x USB 3.1 Type-C (Gen 1);1 x SD card reader ;2 x USB 3.0;1 x HDMI wihtout HDCP,802.11AC Wifi with Bluetooth 4.1,3-cell Li-ion (57 Wh);Energy Star Cert,Windows 10 ,Colour Rose Gold,1.27,320,218.4,5.1,1 Year Parts and Labour Warranty
MacBook,1649,http://www.apple.com/ca/shop/buy-mac/macbook-air,Apple,12 inch ,2304,1440,1.1GHz dual-core Intel Core m3 ;Turbo Boost up to 2.2GHz,2650,256 GB ,SSD,8GB ,Intel HD Graphics 515,635,Stereo speakers;Dual microphones,FaceTime camera;Full-size backlit keyboard with butterfly mechanism;Force Touch trackpad,1 x USB-C port;1 x 3.5 mm headphone jack,802.11ac Wi-Fi with Bluetooth 4.0,Integrated 41.4-watt-hour lithium-polymer battery;29W USB-C Power Adapter ;with cable management system,macOS Sierra, ,0.92,280.5,196.5,13.1,1 Year Warranty;90 days tech support
MacBook Air 13-inch,1199,https://support.apple.com/kb/SP714?locale=en_CA ,Apple,13.3 inch ,1440,900,1.6GHz dual-core Intel Core i5 ;Turbo Boost up to 2.7GHz,2750,128GB ,PCIe SSD,8GB ,Intel HD Graphics 6000,826,Stereo speakers;Dual microphones,FaceTime HD camera;Full-size backlit keyboard;Multi-Touch trackpad,2 x USB 3.0;1 x Thunderbolt 2 port;1 x SDXC card slot;1 x 3.5 mm headphone jack;1 x MagSafe 2 power port,802.11ac Wi-Fi with Bluetooth 4.0,Integrated 54-watt-hour lithium-polymer battery;45W MagSafe 2 Power Adapter ;with cable management system,macOS Sierra, ,2.96,325,227,17,1 Year Warranty;90 days tech support
Surface Book,2199.99,http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-surface-book-13-5-convertible-laptop-silver-intel-core-i5-6300u-256gb-ssd-8gb-ram-eng-cs4-00001/10488047.aspx?,Windows,13.5 inch,3000,2000,Intel Core i5-6300U 6th Gen2.4Ghz,4359,256 GB,Flash Memory,8 GB,Intel Integrated,650,Built in speakers;Built in Microphone;Hardware audio control buttons,Rear and Front camera (5MP; 1080p);Rear camera flash;Detachable keyboard + mousepad;Windows Pen,2 x USB 3.0 Type-A;2 x USB - Mini Display Port;1 x SD card reader;1 x HMDI output,802.11b/g/n Wifi with Bluetooth 4.0,2387 mAh battery,Windows 10 ,Colour Silver,1.516,418.1,278.1,49,1 Year Parts and Labour Warranty
Predator,3499.98,http://www.bestbuy.ca/en-ca/product/acer-acer-predator-17-3-gaming-laptop-black-intel-core-i7-7820hk-512gb-ssd-32gb-ram-win-10-english-gx-792-703d/10588735.aspx?,Acer,17.3 inch ,1920,1080,Intel Core i7-7820HK 2.9Ghz,10199,1 TB,HDD (7200 rpm),32 GB ,NVIDIA GeForce GTX 1080 (8GB),11984,No built in speakers;Integrated Mic,Backlit keyboard (with 6 macros);Built in Mousepad,1 x Optical Drive ;1 x SD card reader;4 x USB 3.0;1 x HDMI output with HDCP;1 x USB Type-CTM port supporting: USB 3.1 Gen 2 (up to 10 Gbps);1 x Ethernet (RJ-45) port;2 x Headphone/speaker jack (mic + output),802.11ac/a/b/g/n Wifi with Bluetooth 4.1;Ethernet Cable,88 Wh Lithium-Ion,Windows 10,Black,4.55,423,321.5,45,1 Year Parts and Labour Warranty
Inspiron 17 5000 Series Non-Touch,549.99,http://www.dell.com/ca/p/inspiron-17-5759-laptop/pd?oc=ni175759_btsb_h2443e&model_id=inspiron-17-5759-laptop,Dell,17.3 inch ,1600,900,Intel Pentium Processor 4405U (2M Cache; up to 2.10 GHz),2980,500GB,HDD,4GB,Intel HD Graphics 520,831,Speakers,WebCam; Standard English Keybord; Clickpad.,HDMI 1.4a; USB 3.0 (1); USB 2.0 (2); Kensington lock slot; Media Card (SD; SDHC; SDXC),802.11ac + Bluetooth 4.0; Dual Band 2.4&5 GHz; 1x1,40 WHr; 4-Cell Battery (removable),Windows 10 ,Black,2.83,416.9,283.2,197,1 Year Ltd Hware Warranty: Mail-in; Customer supplies box; Dell pays shipping
"Lenovo Flex 4 (14"")",829.99,http://www3.lenovo.com/ca/en/laptops/ideapad/flex-series/33/p/80SA000DCF,Lenovo,14 inch,1920,1080,6th Generation Intel Core i3-6100U Processor (2.30GHz 3MB),3877,500GB,HDD,4GB,Intel HD Graphics 520,831,Stereo Speakers with Harman Audio Certification,1 MP Fixed Focus CMOS Camera (720p),2 x USB 3.0;1 x USB 2.0 (always-on);HDMI;4-in-1 Card Reader (SD; SDHC; SDXC; MMC);Audio Combo Jack,Bluetooth 4.0,52.5 WHr; Up to 8.5 Hours Local HD Video Playback at 150 nit,Windows 10,Black,1.73,336.4,232,197,1 year
"IdeaPad 510 15""",899.99,http://www3.lenovo.com/ca/en/laptops/ideapad/ideapad-500-series/IdeaPad-510-15-inch-Intel/p/80SR0055CF,Lenovo,15.6 inch ,1920,1080,6th Generation Intel Core i5-6200U Processor (2.30GHz 3MB),3950,1TB,HDD,4GB,Intel HD Graphics 520,831,2 x Harman Audio Certified Speakers,Backlit English-French Keyboard; ClickPad; 1MP with Dual Array Microphone,2 x USB 3.0; 1 x USB 2.0; 3.5 mm Combo Audio Jack; 1 x VGA; 1 x HDMI; 1 x RJ45 Gigabit LAN; 4-in-1 Card Reader (SD; SDHC; SDXC; MMC),Bluetooth 4.0 Combo with WiFi Card,39WHr; up to 5 Hours Video Playback,Windows 10,Grey,2.2,379,260,22.9,1 year
HP Pavilion x360 13-u020ca Convertible,769,http://h20386.www2.hp.com/CanadaStore/Merch/Product.aspx?id=W7B83UA&opt=ABL&sel=NTB,HP,13.3 inch ,1366,768,Intel Core i3-6100U (2.3 GHz; 3 MB cache; 2 cores),3877,500GB,HDD,4GB ,Intel HD Graphics 520 (up to 2.07 GB),831,B&O PLAY with 2 speakers,Full-size island-style;HP Imagepad with multi-touch gesture support,2 USB 3.0; 1 USB 2.0; 1 HDMI; 1 headphone/microphone combo,802.11ac (1x1) and Bluetooth 4.0 combo,3-cell; 41 Wh Li-ion; 45 W AC power adapter,Windows 10 Home 64-bit English,Ash Grey,2,326.4,222,198,1-year limited hardware warranty; toll-free technical support; 90-days limited software technical support 
ASUS Chromebook Flip C302CA,569,https://www.asus.com/ca-en/Notebooks/ASUS-Chromebook-Flip-C302CA/overview/,ASUS,12.5 inch,1920,1080,Intel Core M 6Y30 Processor,3056,500GB,HDD,4GB,Intel HD Graphics 520,831,Speakers,HD Web Camera; Illuminated Chiclet Keyboard; Clickpad,2 x Type A USB3.0 (USB3.1 GEN1) support display & support power delivery; 1 x micro SD card; 1 x audio jack COMBO,Built-in Bluetooth V4.0,2 Cells 39 Whrs Battery,Chrome OS,White,1.8,360.4,274.8,233.7,1 year
Dell XPS 13 9360-5001SLV-PUS,999,https://www.microsoftstore.com/store/msusa/en_US/pdp/Dell-XPS-13-9360-Laptop-Silver/productID.5093227100,Dell,13.3 Inch ,1920,1080,Intel Core i5-7200U 3MB cache with Intel Turbo Boost Technology up to 3.10 GHz,4713,128GB,SSD,8GB ,Intel HD Graphics 620,945,Waves MaxxAudio Pro,Widescreen HD 720P webcam with dual digital microphone array; Clickpad,1 Thunderbolt 3 ??? 2 USB 3.0 (1 with PowerShare) ??? Headset jack ??? Noble lock slot,Bluetooth 4.1,60WHr*,Windows 10 Pro; 64-bit,Grey,1.29,304.29,200.15,164.2,1 year
Lenovo Z50-75 Signature Edition Laptop,599,https://www.microsoftstore.com/store/msusa/en_US/pdp/Lenovo-Z50-75-Signature-Edition-Laptop/productID.2740240000,Lenovo,15.6 inch,1366,768,AMD FX-7500 2.10 GHz with Turbo up to 3.30 GHz,3210,1TB,HDD,8GB,Intel HD Graphics 520,831,Dolby,Integrated webcam; clickpad ,1 USB 3.0 ??? 2 USB 2.0 ??? HDMI ??? VGA ??? Headphone output/Microphone input combo ??? LAN (10/100/1000),Bluetooth 4.0,4-cell (up to 5 hours)*,Windows 10 Home; 64-bit,Grey,2.33,383.79,264.92,175.29,1 year
HP ProBook 450 G4 Notebook PC,859,http://h20386.www2.hp.com/CanadaStore/Merch/Product.aspx?id=Y9F94UT&opt=ABL&sel=NTB,HP,"	15.6 inch",1366,768,Intel Core i5-7200U; 2.50 GHz,4713,500 GB,HDD,4GB,Intel HD Graphics 620,945,Speakers,Integrated stereo speakers; Headphone/microphone combo jack; Integrated microphone. 720p HD webcam; HP Premium Keyboard; full-sized; backlit; chiclet; spill resistant with numeric keypad; Clickpad with mutitouch gestures; taps enabled as default; 3 finger flick,2 USB 2.0; 1 USB 3.0; 1 USB 3.0 Type-C port; 1 HDMI; 1 RJ-45; 1 VGA; 1 headphone/microphone combo; 1 AC power,Bluetooth 4.2 ,HP 3-cell; 48 Wh Long Life Li-ion,Windows 10 ,Grey,2.04,329.4,284.73,195.3,1 year   
"Acer Aspire F 15""",799.99,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-f-15-touchscreen-laptop-silver-intel-core-i5-7200u-1-tb-hdd-12-gb-ram-windows-10-f5-573t-545k/10509023.aspx?,Acer,15 inch,1366,768,Intel Core i5-7200U; 2.50 GHz,4713,1 TB,HDD,12GB,Intel HD Graphics 620,945,Speakers; 2 W Integrated Microphone Yes,Webcam; Keyboard Language Bilingual; Numeric Keypad; Backlit Keyboard; Touchpad,1 USB 2.0 Ports 2 USB 3.0 Ports ,Bluetooth 4.0,Up to 5 Hours Li-ion; Cells 4,Windows 10,Grey,2.4,406.3,249.7,198.58,1 year
HP Pavilion x360 13-u010ca Notebook PC,769,http://h20386.www2.hp.com/CanadaStore/Merch/Product.aspx?id=W7B82UA&opt=ABL&sel=NTB,HP,13.3 Inch ,1366,168,Intel Core i3-6100U (2.3 GHz; 3 MB cache; 2 cores),3877,500 GB,SSD,4GB,Intel HD Graphics 520,831,B&O PLAY with 2 speakers,Full-size island-style; HP Imagepad with multi-touch gesture support,2 USB 3.0; 1 USB 2.0; 1 HDMI; 1 headphone/microphone combo, Bluetooth 4.0,3-cell; 41 Wh Li-ion,Windows 10,Grey,1.66,329.74,246.7,173.63,One year limited hardware warranty; toll-free technical support; 90-days limited software technical support 
Inspiron 11 3000,279.99,http://www.dell.com/ca/p/inspiron-11-3162-laptop/pd?oc=ni113162_ft_h101re&model_id=inspiron-11-3162-laptop,Dell,11.6 inch,1366,768,Intel Celeron Processor N3060 (2M Cache; up to 2.48 GHz),963,32GB,eMMC,2GB ,Intel HD Graphics,500,Integrated Microphone; Microphone input,Integrated Widescreen HD (720p) Webcam with Digital Microphone; Bali Blue; Alpine White; Tango Red; Standard full-size; spill-resistant keyboard,1 USB 3.0; 1 HDMI v1.4a; 1 USB 2.0,802.11ac + Bluetooth 4.0; Dual Band 2.4&5 GHz; 1x1,32 WHr; 2-Cell Battery (Integrated),Windows 10,Black and Blue,1.22,292,196,19.88,1 Year Ltd Hware Warranty: Mail-in; Customer supplies box; Dell pays shipping
Idea Pad 110,369.99,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-ideapad-110-15-6-laptop-ebony-black-intel-pentium-n3710-1tb-hdd-4gb-ram-windows-10-english-80t700acus/10574226.aspx?,Lenovo,15.6 inch,1366,768,Intel Pentium N3710 (2MB Cache; 1.60 GHz),1868,1TB,5400RPM,4GB ,Intel HD Graphics 405,500,Integrated Microphone; Microphone input,Webcam; Keyboard Language; ClickPad,USB 2.0 ports; USB 3.0 ports; HDMI ouput; 3.5 mm Combo Audio Jack; 1 x RJ45 Ethernet,4.0 Integrated Bluetooth; 802.11 ac Integrated Wi-Fi; 10/100M Ethernet Port,24 Wh; 3 Cell Li-Cylindrical,Windows 10,Black,2.2,378,265,22.9,1 Year(s)
New Inspiron 15 3000,449.99,http://www.dell.com/ca/p/inspiron-15-3552-laptop/pd?oc=ni153552_bt_s009pe&model_id=inspiron-15-3552-laptop,Dell,15.6 inch,1366,768,Intel Pentium N3710 [Intel Pentium Processor N3710 (2M Cache; up to 2.56 GHz),1868,500GB,5400 rpm HDD,4GB,Intel HD Graphics,500,Microphone input,Full size; spill-resistant keyboard with 10-key numeric keypad;  Multi-touch gesture-enabled pad with integrated scrollin;  HD(720p) capable webcam; microphone,1 USB 3.0;   2 USB 2.0;   1 HDMI v1.4a,802.11ac + Bluetooth 4.0; Dual Band 2.4&5 GHz; 1x1,40 WHr; 4-Cell Battery (removable),Windows 10,Black,2.14,380,260.3,21.7,1 Year Ltd Hware Warranty: Mail-in; Customer supplies box; Dell pays shipping
STQ415-ES1-731-P6GB,299.97,http://www.staples.ca/en/Acer-STQ415-ES1-731-P6GB-Laptop-17-3-1-60GHz-Intel-Pentium-N3700-4GB-RAM-500GB-HDD-Windows-10-Bilingual/product_1904093_2-CA_1_20001,Acer,17.3 inch ,1600,900,1.60GHz Intel Pentium N3700,1869,500GB HDD,HDD,4GB ,Intel HD Graphics,500,Headphone Jack; Integrated Microphone; 2 speakers,Numeric keypad; Webcam,2 USB 2.0 ports; 1 USB 3.0 ports; HDMI port,802.11a/b/g/n Bluetooth 4.0,4-cell Lithium Ion (Li-Ion),Windows 10,Black,3,423.4,289.8,27.9,1 Year Limited
14-AX020CA,349.99,http://www.bestbuy.ca/en-ca/product/hp-hp-stream-14-laptop-intel-celeron-n3060-32gb-ssd-4gb-ram-windows-10-home-blue-14-ax010ca/10481595.aspx?,HP,14 inch,1366,768,1.6GHz Intel Celeron N3060 dual-core processor,963,32GB eMMC,eMMC,4GB ,Intel HD Graphics 400,500,Dts Studio Sound With Dual Speakers; Integrated Microphone; Microphone input,Webcam; Bilingual Keyboard Language; Hp Imagepad With Multi-Touch Gesture,1 USB 2.0 ports; 2 USB 3.0 ports; HDMI ports; HDCP ports,Built-in 2x2 802.11ac Wi-Fi; Integrated Bluetooth ,3-cell Lithium-ion; 41Wh,Windows 10 ,Blue,1.44,337,226.1,17.9,1 Year Warranty Labour and Warranty; Parts
C301 Chromebook-Metallic Grey,359.99,http://www.bestbuy.ca/en-ca/product/asus-asus-c301-13-3-chromebook-metallic-grey-intel-quad-core-celeron-n3160-16gb-ssd-4gb-ram-chrome-os-c301sa-bh91-cb/10490596.aspx?,ASUS,13.3 Inch ,1920,1080,1.6GHz Intel Quad-Core Celeron N3160 processor,1682,16GB ,SSD, 4GB ,Intel HD Graphics 400,500,2W Speaker Wattage; Microphone Input;  Digital Audio Output;Hardware Volume Control,Webcam; Bilingual Keyboard Language; ; Touchpad,2 USB 2.0 ports; 1 USB 3.0 ports; HDMI port,802.11ac WiFi; 4.2 Integrated Bluetooth; 10/100/1000 Ethernet Port,3-Cell Li-ion 48 Wh,Chrome OS ,Black and White,3,330.2,231.14,20.32,1 Year Warranty Labour and Warranty Parts
